“¡‘25	1.817524	1.812385	37.20	37.45
“¡‘3	1.760216	1.755851	40.88	41.16
“¡‘4	1.783620	1.778772	37.82	38.08
“¡‘5	1.812603	1.807978	41.10	41.37
“¡‘512	1.955698	1.945868	22.49	22.66
“¡‘7	1.898011	1.891054	30.02	30.25
“¡‘8	1.864054	1.858500	36.40	36.64
“¡‘9	1.812961	1.808468	42.51	42.77
“ 1	1.566096	1.563884	60.51	60.76
“ 12	1.571039	1.568882	62.71	62.93
“ 123	1.591088	1.588782	60.68	60.92
“ 13	1.606258	1.603883	60.37	60.63
“ 14	1.615507	1.613093	60.33	60.58
“ 16	1.615188	1.612685	58.08	58.35
“ 17	1.630511	1.627989	59.10	59.37
“ 2	1.574856	1.572482	57.20	57.48
“ 20	1.624710	1.622096	56.44	56.72
“ 21	1.659965	1.656907	50.83	51.13
“ 216	1.617017	1.614518	58.65	0.0
“ 23	1.591481	1.589187	61.04	61.28
“ 4	1.613808	1.611198	55.52	55.81
“ 8	1.616758	1.614104	54.84	55.13
“ 9	1.619920	1.617199	53.75	54.04
“ Õ1	1.613053	1.610397	54.44	54.74
“ Õ3	1.657279	1.654212	50.37	50.67
“‘1	1.652193	1.647668	33.63	33.88
“‘10	1.813763	1.806269	25.17	25.37
“‘103	1.723667	1.717928	29.31	29.53
“‘104	1.746219	1.740026	27.99	28.21
“‘107	1.734275	1.728220	28.17	28.39
“‘11	1.653628	1.648782	31.33	31.59
“‘12	1.792368	1.785163	25.45	25.66
“‘13	1.791685	1.784651	26.12	26.32
“‘14	1.697275	1.691609	28.56	28.80
“‘15	1.776638	1.769652	25.75	25.95
“‘2	1.677618	1.672680	31.99	32.23
“‘200	1.649322	1.644862	33.95	34.21
“‘3	1.723164	1.717419	29.28	29.50
“‘4	1.746226	1.740019	27.94	28.16
“‘5	1.761711	1.755235	27.32	27.53
“‘7	1.734294	1.728223	28.12	28.33
“‘8	1.694726	1.689488	30.89	31.12
“‘ 1	1.610706	1.608481	64.94	65.23
“‘ 11	1.603753	1.601583	65.83	66.10
“‘ 588	1.625975	1.623484	59.31	59.46
‘1	1.616877	1.612945	36.69	36.95
‘101	1.617877	1.613946	36.74	37.00
‘102	1.621043	1.617052	36.38	36.63
‘104	1.628970	1.624852	35.69	35.95
‘106	1.606997	1.603240	37.79	38.05
‘108	1.629616	1.625454	35.33	35.59
‘109	1.618352	1.614157	34.33	34.60
‘113	1.624590	1.620544	36.08	36.34
‘13	1.624086	1.620045	36.09	36.35
‘18	1.629151	1.624957	35.02	35.29
‘19	1.617760	1.613528	34.01	34.28
‘2	1.620541	1.616551	36.35	36.61
‘20	1.640344	1.636061	34.90	35.15
‘200	1.625998	1.621949	36.12	36.38
‘4	1.628472	1.624353	35.66	35.92
‘6	1.607015	1.603245	37.67	37.93
‘7	1.627355	1.623351	36.64	36.90
‘8	1.629110	1.624948	35.31	35.57
‘9	1.618044	1.613849	34.31	34.59
‘ 1	1.520851	1.519076	69.68	69.87
‘ 11	1.521765	1.519973	68.93	69.16
‘ 114	1.582466	1.580339	64.79	65.13
‘ 13	1.548804	1.546872	67.39	67.59
‘ 14	1.582107	1.579980	64.82	65.09
‘ 1952	1.521779	1.519993	69.06	69.18
‘ 24	1.583725	1.581582	64.48	64.76
